claim,categoria,spiegazione
Packaging composto al 90% da carta riciclata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 90 percento da carta riciclata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 50% da carFavorisceta riciclata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 90% da carta riciclata,Ambiguo,Specifico ma non supportato da documentazione.
Packaging composto al 90% da carta riciclata certificata,Valido,Quantificato e possiede certificazioni.
Packaging composto al 30% da carta riciclata,Ambiguo,Specifico ma manca certificazione
Packaging composto al 90% da carta riutilizzata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 90 percento da carta riutilizzata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 50% da carta riutilizzata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 90% da carta riutilizzata,Ambiguo,Specifico ma non supportato da documentazione.
Packaging composto al 90% da carta riutilizzata certificata,Ambiguo,Quantificato e possiede certificazioni.
Packaging composto al 30% da carta riutilizzata,Ambiguo,Specifico ma manca la certificazione
Packaging composto al 90% da carta recuperata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 90 percento da carta recuperata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 50% da carta recuperata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Packaging composto al 90% da carta recuperata,Ambiguo,Specifico ma non supportato da documentazione.
Packaging composto al 90% da carta recuperata certificata,Valido,Quantificato e possiede certificazioni.
Packaging composto al 30% da carta recuperata,Ambiguo,Specifico ma manca la certificazione
Packaging con 10% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 20% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 30% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 40% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 50% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 60% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 70% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 80% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 90% plastica riciclata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 40% plastica riutilizzata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 50% plastica riutilizzata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 60% plastica riutilizzata,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 40% plastica riutilizzabile,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 50% plastica riutilizzabile,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 60% plastica riutilizzabile,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 50% plastica riciclata certificata,Valido,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 60% plastica riciclata certificata,Valido,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 70% plastica con certificazione,Valido,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 80% plastica con certificato,Valido,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 90% plastica con delle certificazioni,Valido,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 40% plastica riutilizzata Certificata riciclata,Valido,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 50% plastica riutilizzata e dimostrata da documentazione,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging con 60% plastica riutilizzata documentata con certificazioni,Ambiguo,Potenzialmente valido ma mancano dettagli su certificazione
Packaging riciclabile,Valido,Specifico e chiaro.
Packaging recuperabile,Valido,specifico e chiaro.
Packaging composto da materiale recuperabile,Ambiguo,Non è specificato se l'intero imballaggio è riciclabile o solo una parte.
Packaging fabbricato con materiali riciclabili,Ambiguo,Non è specificato se l'intero imballaggio è riciclabile o solo una parte.
Packaging fabbricato con l'utilizzo di materiali riutilizzabili,Ambiguo,Non è specificato se l'intero imballaggio è riciclabile o solo una parte.
Il nostro imballaggio è composto da materiale riutilizzabile,Ambiguo,Non è specificato se l'intero imballaggio è riciclabile o solo una parte.
Packaging composto dal 50% materiale recuperabile,Valido,Specifica una percentuale del materiale riciclabile usato.
Packaging fabbricato con il 70% di materiali riciclabili,Valido,Specifica una percentuale del materiale riciclabile usato.
Packaging fabbricato con l'utilizzo di materiali riutilizzabili (40%),Valido,Specifica una percentuale del materiale riciclabile usato.
Il nostro imballaggio è composto dal 25% di materiale riutilizzabile,Valido,Specifica una percentuale del materiale riciclabile usato.
Packaging composto al 110% da carta riciclata certificata FSC,Ingannevole,Valore della percentuale impossibile.
Packaging composto al 110% da carta riutilizzata certificata FSC,Ingannevole,Valore della percentuale impossibile.
Packaging composto al 120% da carta riciclata certificata FSC,Ingannevole,Valore della percentuale maggiore del 100%.
Packaging composto al 120% da carta riutilizzata certificata FSC,Ingannevole,Valore della percentuale maggiore del 100%.
Packaging composto al 120% da carta riutilizzabile certificata FSC,Ingannevole,Valore della percentuale maggiore del 100%.
Prodotto certificato secondo ISO 14001 e audit EMAS,Valido,Claim chiaro e verificabile secondo standard riconosciuti.
Emissioni CO2 ridotte del 35% rispetto al modello 2020,Valido,Quantificato e verificabile e comparativo.
Emissioni ridotte del 30% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 20% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 50% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 70% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 30%,Ingannevole,Non è indicato rispetto a cosa è ridotto.
Riduce le emissioni di CO2 del 35% rispetto al modello 2020,Valido,Quantificato e verificabile e comparativo.
Riduce le emissioni di CO2 del 30% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Riduce le emissioni di CO2 20% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Riduce le emissioni di CO2 50% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Riduce le emissioni di CO2 70% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Riduce le emissioni di CO2 30%,Ingannevole,Non è indicato rispetto a cosa è ridotto.
Abbassa le emissioni di CO2 del 35% rispetto al modello 2020,Valido,Quantificato e verificabile e comparativo.
Abbassa le emissioni di CO2 del 30% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Abbassa le emissioni di CO2 20% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Abbassa le emissioni di CO2 50% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Abbassa le emissioni di CO2 70% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Riduce le emissioni di CO2 30%,Ingannevole,Non è indicato rispetto a cosa è ridotto.
Riduce l'inquinamento del 30%,Ingannevole, Non è supportato da certificazione e non è indicato rispetto a cosa è ridotto.
Abbassa le emissioni di CO2 30%,Ingannevole,Non è indicato rispetto a cosa è ridotto.
Abbassa l'inquinamento del 30%,Ingannevole, Non è supportato da certificazione e non è indicato rispetto a cosa è ridotto.
Riduce le emissioni di CO2 30 percento,Ingannevole,Non è indicato rispetto a cosa è ridotto.
